2025-04-26 15:11:54,955 - INFO - 已成功下载的论文数量: 13222
2025-04-26 15:11:54,961 - INFO - 开始下载 2682 篇论文
2025-04-26 15:11:58,394 - INFO - 成功下载 w17337, 耗时: 2.65秒
2025-04-26 15:11:58,487 - INFO - 成功下载 w17322, 耗时: 2.93秒
2025-04-26 15:11:58,528 - INFO - 成功下载 w17318, 耗时: 3.03秒
2025-04-26 15:11:58,592 - INFO - 成功下载 w17334, 耗时: 2.88秒
2025-04-26 15:11:58,614 - INFO - 成功下载 w17330, 耗时: 2.96秒
2025-04-26 15:11:59,303 - INFO - 成功下载 w17336, 耗时: 3.57秒
2025-04-26 15:11:59,441 - INFO - 成功下载 w17323, 耗时: 3.87秒
2025-04-26 15:11:59,762 - INFO - 成功下载 w17321, 耗时: 4.22秒
2025-04-26 15:11:59,781 - INFO - 成功下载 w17331, 耗时: 4.12秒
2025-04-26 15:11:59,805 - INFO - 成功下载 w17329, 耗时: 4.17秒
2025-04-26 15:11:59,998 - INFO - 成功下载 w17328, 耗时: 4.37秒
2025-04-26 15:12:00,459 - INFO - 成功下载 w17327, 耗时: 4.84秒
2025-04-26 15:12:00,478 - INFO - 成功下载 w17339, 耗时: 1.47秒
2025-04-26 15:12:00,635 - INFO - 成功下载 w17340, 耗时: 1.59秒
2025-04-26 15:12:00,660 - INFO - 成功下载 w17333, 耗时: 4.96秒
2025-04-26 15:12:00,852 - INFO - 成功下载 w17319, 耗时: 5.34秒
2025-04-26 15:12:00,874 - INFO - 成功下载 w17338, 耗时: 1.95秒
2025-04-26 15:12:00,902 - INFO - 成功下载 w17324, 耗时: 5.32秒
2025-04-26 15:12:00,935 - INFO - 成功下载 w17341, 耗时: 1.74秒
2025-04-26 15:12:01,001 - INFO - 成功下载 w17332, 耗时: 5.32秒
2025-04-26 15:12:01,088 - INFO - 成功下载 w17326, 耗时: 5.48秒
2025-04-26 15:12:01,532 - INFO - 成功下载 w17320, 耗时: 6.00秒
2025-04-26 15:12:01,697 - INFO - 成功下载 w17342, 耗时: 2.49秒
2025-04-26 15:12:01,808 - INFO - 成功下载 w17343, 耗时: 1.99秒
2025-04-26 15:12:02,218 - INFO - 成功下载 w17335, 耗时: 6.50秒
2025-04-26 15:12:02,234 - INFO - 成功下载 w17348, 耗时: 1.26秒
2025-04-26 15:12:02,294 - INFO - 成功下载 w17344, 耗时: 2.30秒
2025-04-26 15:12:02,767 - INFO - 成功下载 w17346, 耗时: 2.32秒
2025-04-26 15:12:02,969 - INFO - 成功下载 w17347, 耗时: 2.51秒
2025-04-26 15:12:03,057 - INFO - 成功下载 w17345, 耗时: 2.62秒
2025-04-26 15:12:03,553 - INFO - 成功下载 w17351, 耗时: 2.40秒
2025-04-26 15:12:03,824 - INFO - 成功下载 w17352, 耗时: 2.65秒
2025-04-26 15:12:03,845 - INFO - 成功下载 w17354, 耗时: 2.29秒
2025-04-26 15:12:04,063 - INFO - 成功下载 w17325, 耗时: 8.47秒
2025-04-26 15:12:04,197 - INFO - 成功下载 w17349, 耗时: 3.21秒
2025-04-26 15:12:04,229 - INFO - 成功下载 w17355, 耗时: 2.56秒
2025-04-26 15:12:04,338 - INFO - 成功下载 w17358, 耗时: 2.63秒
2025-04-26 15:12:04,514 - INFO - 成功下载 w17350, 耗时: 3.51秒
2025-04-26 15:12:04,797 - INFO - 成功下载 w17356, 耗时: 3.12秒
2025-04-26 15:12:04,973 - INFO - 成功下载 w17361, 耗时: 2.63秒
2025-04-26 15:12:05,012 - INFO - 成功下载 w17363, 耗时: 2.22秒
2025-04-26 15:12:05,526 - INFO - 成功下载 w17360, 耗时: 3.20秒
2025-04-26 15:12:05,654 - INFO - 成功下载 w17365, 耗时: 2.17秒
2025-04-26 15:12:05,674 - INFO - 成功下载 w17367, 耗时: 2.05秒
2025-04-26 15:12:05,771 - INFO - 成功下载 w17353, 耗时: 4.23秒
2025-04-26 15:12:05,836 - INFO - 成功下载 w17359, 耗时: 3.62秒
2025-04-26 15:12:06,337 - INFO - 成功下载 w17369, 耗时: 2.00秒
2025-04-26 15:12:06,656 - INFO - 成功下载 w17364, 耗时: 3.62秒
2025-04-26 15:12:06,822 - INFO - 成功下载 w17366, 耗时: 3.27秒
2025-04-26 15:12:06,969 - INFO - 成功下载 w17371, 耗时: 2.30秒
2025-04-26 15:12:06,995 - INFO - 成功下载 w17372, 耗时: 2.21秒
2025-04-26 15:12:07,023 - INFO - 成功下载 w17373, 耗时: 2.23秒
